instances,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_Usefulness,algo_bagging,algo_gradient_boosting,algo_random_forest,algo_svc_linear
106,1.0,0.0,0.982,0.827358921122204,0.0,0.30700869413048115,0.984,0.08858248339877665,0.20423250870622528,0.10964412960525384,0.44242672548473716
107,0.875,0.0,0.946,0.7812756507637904,0.0,0.4100457518507711,1.0,0.04878978848761944,0.023559192009522528,0.06735765387058053,0.045654332867283536
108,1.0,0.0,0.996,0.8140918111185391,0.0,0.36288464004197807,0.996,0.9800311702569117,0.6387425548877177,0.9395730980141332,0.8853636877152811
109,1.0,0.0037313432835820895,0.994,0.891946484067075,0.5,0.4709915653483717,0.964,0.05316454973717523,0.12892726639337873,0.08310056115754218,0.2693464774422094
110,1.0,0.028,0.996268656716418,0.8906028863937495,1.0,0.6625835006972698,1.0,3.044529951389312,3.563027008850865,3.0745259901595503,1.7363252593315361
111,1.0,0.0,0.996268656716418,0.8598045656541685,0.5,0.5155978035123123,0.9925373134328358,0.49744724342799723,0.39522806463785026,0.8348611672873361,0.4296442013337146
112,1.0,0.0,0.9925373134328358,0.8090339573527001,0.0,0.4967125382510488,0.9850746268656716,0.09100036968479625,0.12340869576578832,0.09015062679791154,0.0908839574928136
113,1.0,0.0,0.968,0.8651538700646053,0.0,0.3563968199235621,0.948,0.10639465427840167,0.07699029189281714,0.07285122644478154,0.07245845762160132
114,1.0,0.0,0.992,0.8833906923833134,0.0,0.45473006843931674,0.99,0.07293217003609957,0.11915139922687025,0.051727031224397604,0.11321443931248146
115,1.0,0.002,0.996268656716418,0.8498353843163565,1.0,0.5793225292729614,1.0,0.12051806721689004,0.09298724395885231,0.12016638010343288,0.13991426905699464
116,1.0,0.0,0.9888059701492538,0.8600081311230173,0.0,0.4414775357844496,0.996268656716418,0.18479015396745296,0.13895050954335492,0.25168794667544064,0.26396939118490564
117,1.0,0.01,0.996268656716418,0.9186850120907989,0.6,0.5182629402165604,0.9925373134328358,0.21882090366545368,0.16302414647021887,0.1683692638414671,0.6036463367658758
118,1.0,0.0,0.984,0.7942255095698254,0.0,0.3295140458616628,0.998,0.23627801479722615,1.1491999064375196,0.16484695126989593,0.4937736270016235
119,1.0,0.0,0.962,0.8483489520550136,0.0,0.3655329928765987,0.946,0.07528078452951088,0.10781557466581906,0.049244026313870856,0.14916727115081535
120,1.0,0.0,0.948,0.8363904779898339,0.0,0.3813472420092976,0.952,0.05316454973717523,0.08161594956716685,0.04902183339109011,0.13715374508769432
121,1.0,0.0,0.9925373134328358,0.8064703286151967,0.0,0.4729469784660365,0.996268656716418,0.14624198940184785,0.11956925074194086,0.17998137969207104,0.1335650828469844
122,1.0,0.007462686567164179,0.998,0.8674722627145717,0.6666666666666666,0.5288285044974999,0.996,0.1637297501463227,0.12121123793268884,0.15647823870589578,0.4216833819157202
123,1.0,0.0,0.97,0.8560126712279235,0.0,0.4214684714139122,0.956,0.19036205370110695,0.19312380439376686,0.15647823870589578,0.24064717180231945
124,1.0,0.0,0.992,0.8929168665091791,0.0,0.42761392305418433,0.99,0.113896896239995,0.017746962360859632,0.10593177720936293,0.6748729790347996
125,1.0,0.026,0.996268656716418,0.9315988029934948,1.0,0.684384558696318,1.0,1.7253932896055852,1.3556186226954414,1.5980381216229467,1.833700264933242
126,1.0,0.002,0.996268656716418,0.8183266146465266,1.0,0.5783953260220366,1.0,1.9182725066435466,2.0099818070351274,2.5620824138857943,0.5135930252866748
127,1.0,0.0,0.998,0.8360065494809077,1.0,0.5006229322882894,0.996,1.1522893104540035,1.2921013179187741,0.7662945712543733,0.9511408607524684
128,1.0,0.0,0.986,0.8615245550221777,0.0,0.4029101630484616,0.97,0.17394413040774295,0.28300724249806397,0.282426508173478,0.29058087999443666
129,1.0,0.0,0.9888059701492538,0.8132828637744363,0.0,0.42344016404508245,0.9888059701492538,0.6094601487498895,0.9461853658309621,0.794376638515573,1.2886868963740639
130,1.0,0.006,0.996268656716418,0.8341699767169755,1.0,0.5308763087617137,0.996268656716418,1.9966770782478078,2.743917020453087,2.396026381836682,1.395081064971132
131,1.0,0.002,0.996268656716418,0.8858612693091857,1.0,0.5064438156204623,0.9925373134328358,0.25597859610789425,0.15126469293709477,0.24174741191835172,0.36407253021771224
132,1.0,0.0,0.9850746268656716,0.7945498988840984,0.0,0.3757333736891536,1.0,0.2632569644568631,0.36604954482036295,0.34174031319283166,0.2417314827420184
133,1.0,0.002,0.9888059701492538,0.8263637304377833,0.0,0.4904527750651847,0.9776119402985075,0.10500478568903031,0.07323561368944666,0.12001036631088723,0.3543070262215092
134,1.0,0.0,0.992,0.8461555373833991,0.0,0.47455656411771985,0.99,0.3693038239584461,0.295936946158479,0.5279725720920511,0.505489278432332
135,1.0,0.0037313432835820895,0.994,0.9077719450420885,0.5,0.3992654574320339,0.94,0.05316454973717523,0.04810917808580614,0.0606078781808985,0.13420548257393106
